id knjige;naslov;jezik;datum objave;stevilo prenosov;tezavnost
2641;A Room with a View;English;2001;118526;84.8
2701;"Moby Dick; Or, The Whale";English;2001;114314;73.3
17157;Gulliver's Travels into Several Remote Regions of the World;English;2005;92823;65.5
84;"Frankenstein; Or, The Modern Prometheus";English;1993;91683;65.0
100;The Complete Works of William Shakespeare;English;1994;90742;83.0
158;Emma;English;1994;90137;71.2
1080;A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick;English;1997;88993;37.3
16389;The Enchanted April;English;2005;83016;81.0
1513;Romeo and Juliet;English;1998;82087;92.6
3186;The Mysterious Stranger, and Other Stories;English;2008;81881;76.5
10554;Right Ho, Jeeves;English;2004;80917;83.5
394;Cranford;English;1996;78140;69.5
2160;The Expedition of Humphry Clinker;English;2000;77932;46.7
9070;The Imaginary Invalid;English;2005;77865;82.1
6593;History of Tom Jones, a Foundling;English;2004;77337;58.0
580;The Pickwick Papers;English;1996;74088;71.8
289;The Wind in the Willows;English;1995;72704;77.4
145;Middlemarch;English;1994;66345;68.5
2554;Crime and Punishment;English;2006;65117;83.0
18857;A Journey to the Centre of the Earth;English;2006;65071;71.5
37106;"Little Women; Or, Meg, Jo, Beth, and Amy";English;2011;63996;75.2
13415;The Lady with the Dog and Other Stories;English;2004;63324;79.9
1342;Pride and Prejudice;English;1998;62015;69.2
3011;The Lady of the Lake;English;2002;61765;76.7
5225;The Satyricon — Complete;English;2004;61641;62.2
11;Alice's Adventures in Wonderland;English;2008;61413;87.5
31516;The Eyes Have It;English;2010;60822;78.8
67979;The Blue Castle: a novel;English;2022;59161;84.8
4352;Laughter: An Essay on the Meaning of the Comic;English;2003;58491;55.9
8525;Eve's Diary, Complete;English;2004;57989;85.0
174;The Picture of Dorian Gray;English;1994;57825;84.0
24151;The Sky Trap;English;2008;57686;76.9
6761;The Adventures of Ferdinand Count Fathom — Complete;English;2004;55150;38.0
164;Twenty Thousand Leagues under the Sea;English;1994;53863;71.7
4085;The Adventures of Roderick Random;English;2003;53611;49.2
1259;Twenty years after;English;1998;52991;80.7
2542;A Doll's House : a play;English;2001;52914;86.6
308;Three men in a boat (to say nothing of the dog);English;1995;52567;76.9
74;The Adventures of Tom Sawyer, Complete;English;2004;51127;81.2
215;The call of the wild;English;2008;50987;77.5
73144;Lady Chatterley's lover;English;2024;50162;84.8
383;"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy";English;1995;50101;84.5
24571;Der Struwwelpeteroder lustige Geschichten und drollige Bilder;German;2008;49663;81.9
3189;Sketches New and Old;English;2004;49622;66.7
2643;The History of John Bull;English;2001;49239;75.1
1250;Anthem;English;1998;48385;89.7
14323;Là-bas;English;2004;48113;70.9
21279;2 B R 0 2 B;English;2007;48068;86.3
345;Dracula;English;1995;47118;86.3
29418;The Man from Time;English;2009;46837;82.0
64820;The Vibration Wasps;English;2021;46294;75.2
10676;The Reign of Greed;English;2004;44838;66.9
41445;"Frankenstein; Or, The Modern Prometheus";English;2012;44096;64.8
17489;Les misérables Tome I: Fantine;French;2006;43320;81.5
766;David Copperfield;English;1996;43160;78.7
69087;The murder of Roger Ackroyd;English;2022;43112;86.2
521;The Life and Adventures of Robinson Crusoe;English;1996;43091;54.2
25305;Memoirs of Fanny HillA New and Genuine Edition from the Original Text (London, 1749);English;2008;42796;35.8
57333;Project Gutenberg Compilation of Short Stories by Chekhov;English;2018;42759;80.5
236;The Jungle Book;English;2006;42601;87.3
2911;Justice;English;2004;42568;85.5
2638;The Idiot;English;2001;42469;80.9
35;The Time Machine;English;2004;42344;79.5
32032;Second Variety;English;2010;41717;89.2
27673;Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes;English;2008;41478;91.3
20228;Noli Me Tangere;Tagalog;2006;41376;59.3
9830;The Beautiful and Damned;English;2006;41187;72.3
599;Vanity Fair;English;1996;40919;75.0
1837;The Prince and the Pauper;English;2004;40894;75.4
103;Around the World in Eighty Days;English;1994;40725;70.7
2147;The Works of Edgar Allan Poe — Volume 1;English;2000;40522;65.2
2097;The Sign of the Four;English;2000;40494;81.6
108;The Return of Sherlock Holmes;English;2006;40349;81.8
141;Mansfield Park;English;1994;40270;66.3
1874;The Railway Children;English;1999;40062;91.1
5197;My Life — Volume 1;English;2004;39875;56.0
86;A Connecticut Yankee in King Arthur's Court;English;2004;39862;75.7
2527;The Sorrows of Young Werther;English;2001;39827;77.4
27761;Hamlet, Prince of Denmark;English;2009;39785;83.8
7700;Lysistrata;English;2005;39750;83.6
7178;Swann's Way;English;2004;39729;59.0
209;The Turn of the Screw;English;1995;39705;79.4
60976;Rip Van Winkle;English;2019;39682;62.9
10623;Plays;English;2004;39518;85.9
121;Northanger Abbey;English;1994;39484;66.9
47;Anne of Avonlea;English;2006;39316;82.8
61963;We;English;2020;39310;82.7
10947;The Best American Humorous Short Stories;English;2004;39230;70.0
3825;Pygmalion;English;2003;39220;84.5
62;A Princess of Mars;English;1993;39087;59.1
24022;A Christmas Carol;English;2007;39032;80.0
5230;The Invisible Man: A Grotesque Romance;English;2004;39022;83.2
902;The Happy Prince, and Other Tales;English;1997;38989;88.4
82;Ivanhoe: A Romance;English;2008;38921;60.9
50290;Space Station 1;English;2015;38864;74.2
4081;The Alchemist;English;2003;38705;85.0
1079;The life and opinions of Tristram Shandy, gentleman;English;1997;38692;54.1
1200;Gargantua and Pantagruel;English;2004;38688;68.9
6133;The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar;English;2004;38585;74.6
160;The Awakening, and Selected Short Stories;English;2006;38510;81.6
42324;"Frankenstein; Or, The Modern Prometheus";English;2013;38390;64.8
7256;The Gift of the Magi;English;2005;38230;83.9
1695;The Man Who Was Thursday: A Nightmare;English;1999;38205;80.0
61221;A passage to India;English;2020;38131;74.0
805;This Side of Paradise;English;1997;38108;72.6
5611;The Satyricon of Petronius Arbiter;English;2004;38044;56.8
59112;R.U.R. (Rossum's Universal Robots)A Fantastic Melodrama in Three Acts and an Epilogue;English;2019;37713;80.0
6852;Venus in Furs;English;2004;37504;81.3
4078;The Picture of Dorian Gray;English;2003;37349;83.4
32759;Red Nails;English;2010;37327;81.6
1051;Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh;English;1997;37200;48.4
9366;Mary Olivier: a Life;English;2005;37189;94.0
1156;Babbitt;English;2002;37090;80.0
16433;The Gay Cockade;English;2005;37078;92.0
52059;Anthologica Rarissima: The Way of a VirginBeing excerpts from rare, curious and diverting books;English;2016;37044;76.7
19591;De Decamerone van Boccaccio;Dutch;2006;36986;65.3
10002;The House on the Borderland;English;2003;36897;79.3
17699;The Evolution of Love;English;2006;36791;53.3
4039;"Volpone; Or, The Fox";English;2003;36788;83.9
54672;Les Bijoux Indiscrets, or, The Indiscreet Toys;English;2017;36519;68.0
6410;Once Aboard the Lugger-- The History of George and his Mary;English;2004;36517;85.0
18458;Star Born;English;2006;36494;79.5
28488;"Tartuffe; Or, The Hypocrite";English;2009;36436;82.8
28054;The Brothers Karamazov;English;2009;36434;82.0
3726;The Decameron, Volume I;English;2003;36424;55.1
1952;The Yellow Wallpaper;English;1999;36219;89.5
64830;Mémoires de Miss Coote: Exploits d'une fouetteuse britannique racontés par elle-même;French;2021;36131;77.3
16921;Plague Ship;English;2005;36023;80.0
27458;Aeschylus' Prometheus Bound and the Seven Against Thebes;English;2008;35979;76.9
30334;Ultima Thule;English;2009;35957;76.9
61521;The Modern Traveller;English;2020;35920;76.6
19651;Key Out of Time;English;2006;35894;82.1
27609;The Undersea Tube;English;2008;35427;77.2
29019;All cats are gray;English;2009;35392;82.0
30283;The Sound of Silence;English;2009;35263;82.1
30014;Native Son;English;2009;35154;75.3
23379;Old Mr. Wiley;English;2007;35151;74.1
30034;I'll Kill You Tomorrow;English;2009;35123;80.0
23185;The Glory of Ippling;English;2007;35077;73.5
43048;The Piebald Hippogriff;English;2013;35071;83.5
30044;The Carnivore;English;2009;34998;81.1
23920;A Matter of Proportion;English;2007;34996;82.8
26743;The Putnam Tradition;English;2008;34894;83.6
29789;Poppa Needs Shorts;English;2009;34888;74.3
28650;Year of the Big Thaw;English;2009;34745;87.7
16;Peter Pan;English;2008;33534;89.7
98;A Tale of Two Cities;English;1994;32772;78.2
12;Through the Looking-Glass;English;2008;32277;90.2
1251;Le Morte d'Arthur: Volume 1;English;1998;32059;76.7
2600;War and Peace;English;2001;31849;78.3
14591;Faust [part 1]. Translated Into English in the Original Metres;English;2005;31665;82.7
36281;The Slayer of Souls;English;2011;31259;82.8
113;The Secret Garden;English;1994;30959;90.9
36;The War of the Worlds;English;2004;30815;77.8
3090;Complete Original Short Stories of Guy De Maupassant;English;2004;30417;78.6
5200;Metamorphosis;English;2005;30268;68.9
1661;The Adventures of Sherlock Holmes;English;1999;30008;80.6
105;Persuasion;English;1994;29978;64.4
786;Hard Times;English;1997;29964;79.8
19942;Candide;English;2006;29947;77.0
64317;The Great Gatsby;English;2021;29891;81.6
76;Adventures of Huckleberry Finn;English;2004;29736;85.9
1184;The Count of Monte Cristo;English;1998;29706;78.4
43;The Strange Case of Dr. Jekyll and Mr. Hyde;English;2008;29602;75.4
14838;The Tale of Peter Rabbit;English;2005;29214;72.4
6130;The Iliad;English;2004;29005;71.6
1260;Jane Eyre: An Autobiography;English;1998;28863;77.4
4300;Ulysses;English;2003;28732;83.7
203;Uncle Tom's Cabin;English;2006;28606;78.2
2500;Siddhartha;English;2001;28606;75.0
2591;Grimms' Fairy Tales;English;2001;28549;81.8
36034;White Nights and Other StoriesThe Novels of Fyodor Dostoevsky, Volume X;English;2011;28526;79.3
2199;The Iliad;English;2000;28487;73.8
30142;Little Brother;English;2009;28406;82.8
70891;Notre-Dame de Paris - Tome 1;French;2023;28345;77.4
2610;Notre-Dame de Paris;English;2001;28284;78.5
5921;The History of Don Quixote, Volume 1, Complete;English;2004;28217;46.3
8117;The possessed :  or, The devils;English;2005;28214;81.5
863;The Mysterious Affair at Styles;English;1997;28181;85.5
2781;Just so stories;English;2001;28075;86.4
972;The Devil's Dictionary;English;1997;28053;61.2
175;The Phantom of the Opera;English;1994;28043;82.2
1257;The three musketeers;English;1998;27989;80.1
1524;Hamlet, Prince of Denmark;English;1998;27943;83.6
910;White Fang;English;1997;27938;81.2
51;Anne of the Island;English;2006;27910;83.7
7849;The Trial;English;2005;27718;78.2
271;Black Beauty;English;2006;27624;80.8
27805;The Wind in the Willows;English;2009;27455;77.4
834;The Memoirs of Sherlock Holmes;English;1997;27435;80.1
4276;North and South;English;2003;27411;79.4
1514;A Midsummer Night's Dream;English;1998;27315;90.9
23042;The TempestThe Works of William Shakespeare [Cambridge Edition] [9 vols.];English;2007;27302;93.7
32706;Triplanetary;English;2010;27230;71.8
140;The Jungle;English;2006;27210;72.9
23700;The Decameron of Giovanni Boccaccio;English;2007;27205;53.1
22367;Die Verwandlung;German;2007;27074;69.5
6087;"The Vampyre; a Tale";English;2004;27054;54.3
1268;The Mysterious Island;English;1998;26963;69.2
71865;Mrs. Dalloway;English;2023;26799;78.9
500;The Adventures of Pinocchio;English;2006;26772;91.9
56712;The Comic Poems of Thomas HoodA New and Complete Edition;English;2018;26770;73.7
24434;The Wit and Humor of America, Volume X (of X);English;2008;26762;79.4
73;The Red Badge of Courage: An Episode of the American Civil War;English;1993;26657;83.4
8578;The Grand Inquisitor;English;2005;26634;64.2
139;The Lost World;English;1994;26618;78.8
28522;"Laura Middleton; Her Brother and her Lover";English;2009;26604;50.9
11231;Bartleby, the Scrivener: A Story of Wall-Street;English;2004;26571;70.0
159;The island of Doctor Moreau;English;2004;26565;81.0
13610;"Studies in the Psychology of Sex, Volume 1The Evolution of Modesty; The Phenomena of Sexual Periodicity; Auto-Erotism";English;2004;26442;45.8
19924;Plain Facts for Old and Young;English;2006;26439;55.9
31352;Sex-educationA series of lectures concerning knowledge of sex in its relation to human life;English;2010;26388;48.8
4517;Ethan Frome;English;2003;26295;77.0
3328;Man and Superman: A Comedy and a Philosophy;English;2006;26094;72.9
63274;The sexual life of woman in its physiological, pathological and hygienic aspects;English;2020;26047;43.5
2650;Du côté de chez Swann;French;2001;25954;60.6
47947;Self Knowledge and Guide to Sex Instruction: Vital Facts of Life for All Ages;English;2015;25944;69.2
2000;Don Quijote;Spanish;1999;25909;38.5
29827;The Life and Amours of the Beautiful, Gay and Dashing Kate PercivalThe Belle of the Delaware;English;2009;25907;77.1
28521;The Power of MesmerismA Highly Erotic Narrative of Voluptuous Facts and Fancies;English;2009;25818;70.1
2509;The Lani People;English;2001;25806;77.7
60825;"The Convent School; Or, Early Experiences of a Young Flagellant";English;2019;25795;62.6
1254;Cyrano de Bergerac;English;1998;25736;87.4
1917;The Queen of Hearts;English;1999;25730;75.5
49525;First Lensman;English;2015;25706;73.8
32;Herland;English;2008;25618;71.8
8800;The divine comedy;English;2005;25600;71.4
57284;Manual of Classical Erotology (De figuris Veneris);English;2018;25590;66.7
12474;Write It Right: A Little Blacklist of Literary Faults;English;2004;25563;70.2
844;The Importance of Being Earnest: A Trivial Comedy for Serious People;English;1997;25546;77.9
17161;Max und Moritz: Eine Bubengeschichte in sieben Streichen;German;2005;25528;83.5
70403;The miniature menace;English;2023;25519;83.9
