id osebe;oseba
975;Forster, E. M. (Edward Morgan), 1879-1970
9;Melville, Herman, 1819-1891
326;Swift, Jonathan, 1667-1745
61;Shelley, Mary Wollstonecraft, 1797-1851
65;Shakespeare, William, 1564-1616
68;Austen, Jane, 1775-1817
603;Von Arnim, Elizabeth, 1866-1941
53;Twain, Mark, 1835-1910
783;Wodehouse, P. G. (Pelham Grenville), 1881-1975
220;Gaskell, Elizabeth Cleghorn, 1810-1865
26815;Brock, C. E. (Charles Edmund), 1870-1938
838;Smollett, T. (Tobias), 1721-1771
791;Molière, 1622-1673
2877;Wall, Charles Heron
537;Fielding, Henry, 1707-1754
37;Dickens, Charles, 1812-1870
153;Grahame, Kenneth, 1859-1932
90;Eliot, George, 1819-1880
314;Dostoyevsky, Fyodor, 1821-1881
2858;Garnett, Constance, 1861-1946
60;Verne, Jules, 1828-1905
102;Alcott, Louisa May, 1832-1888
6202;Merrill, Frank T., 1848-1923
708;Chekhov, Anton Pavlovich, 1860-1904
59;Scott, Walter, 1771-1832
1743;Petronius Arbiter, 20-66
36279;Firebaugh, W. C.
7;Carroll, Lewis, 1832-1898
33399;Dick, Philip K., 1928-1982
36;Montgomery, L. M. (Lucy Maud), 1874-1942
1462;Bergson, Henri, 1859-1941
1463;Brereton, Cloudesley, 1863-1937
1464;Rothwell, Fred, 1869-1934
4488;Ralph, Lester
111;Wilde, Oscar, 1854-1900
25911;Long, Frank Belknap, 1903-1994
492;Dumas, Alexandre, 1802-1870
3930;Maquet, Auguste, 1813-1888
861;Ibsen, Henrik, 1828-1906
173;Jerome, Jerome K. (Jerome Klapka), 1859-1927
120;London, Jack, 1876-1916
123;Lawrence, D. H. (David Herbert), 1885-1930
211;Goldsmith, Oliver, 1730?-1774
4233;Hoffmann, Heinrich, 1809-1894
983;Arbuthnot, John, 1667-1735
572;Rand, Ayn, 1905-1982
4324;Huysmans, J.-K. (Joris-Karl), 1848-1907
5476;Wallis, Keene
9812;Vonnegut, Kurt, 1922-2007
190;Stoker, Bram, 1847-1912
53048;Forte, John R. (John Robert), 1918-1966
2183;Rizal, José, 1861-1896
4931;Derbyshire, Charles E.
85;Hugo, Victor, 1802-1885
451;Christie, Agatha, 1890-1976
204;Defoe, Daniel, 1661?-1731
9040;Cleland, John, 1709-1789
132;Kipling, Rudyard, 1865-1936
850;Galsworthy, John, 1867-1933
981;Martin, Eva (Translator)
30;Wells, H. G. (Herbert George), 1866-1946
35627;Ebel, Alex, 1932-2013
26;Sophocles, 496? BCE-407 BCE
1681;Murray, Gilbert, 1866-1957
7919;Poblete, Pascual Hicaro, 1857-1921
420;Fitzgerald, F. Scott (Francis Scott), 1896-1940
313;Thackeray, William Makepeace, 1811-1863
481;Poe, Edgar Allan, 1809-1849
69;Doyle, Arthur Conan, 1859-1930
407;Nesbit, E. (Edith), 1858-1924
1325;Wagner, Richard, 1813-1883
586;Goethe, Johann Wolfgang von, 1749-1832
952;Boylan, R. Dillon (Richard Dillon), 1805?-1888
965;Aristophanes, 447? BCE-386? BCE
1588;Lindsay, Norman, 1879-1969
38416;Lindsay, Jack, 1900-1990
987;Proust, Marcel, 1871-1922
217;Scott-Moncrieff, C. K. (Charles Kenneth), 1889-1930
113;James, Henry, 1843-1916
34;Irving, Washington, 1783-1859
6335;Rackham, Arthur, 1867-1939
2446;Glaspell, Susan, 1882?-1948
51700;Zamiatin, Evgenii Ivanovich, 1884-1937
39147;Zilboorg, Gregory, 1890-1959
467;Shaw, Bernard, 1856-1950
48;Burroughs, Edgar Rice, 1875-1950
1269;Jonson, Ben, 1573?-1637
419;Sterne, Laurence, 1713-1768
551;Rabelais, François, 1490?-1553?
1896;Doré, Gustave, 1832-1883
4933;Motteux, Peter Anthony, 1660-1718
4932;Urquhart, Thomas, Sir, 1611-1660
1358;Leblanc, Maurice, 1864-1941
