id knjige;id osebe;vloga
2641;975;A
2701;9;A
17157;326;A
84;61;A
100;65;A
158;68;A
1080;326;A
16389;603;A
1513;65;A
3186;53;A
10554;783;A
394;220;A
394;26815;I
2160;838;A
9070;791;A
9070;2877;P
6593;537;A
580;37;A
289;153;A
145;90;A
2554;314;A
2554;2858;P
18857;60;A
37106;102;A
37106;6202;I
13415;708;A
13415;2858;P
1342;68;A
3011;59;A
5225;1743;A
5225;36279;P
11;7;A
31516;33399;A
67979;36;A
4352;1462;A
4352;1463;P
4352;1464;P
8525;53;A
8525;4488;I
174;111;A
24151;25911;A
6761;838;A
164;60;A
4085;838;A
1259;492;A
1259;3930;A
2542;861;A
308;173;A
74;53;A
215;120;A
73144;123;A
383;211;A
24571;4233;A
3189;53;A
2643;983;A
1250;572;A
14323;4324;A
14323;5476;P
21279;9812;A
345;190;A
29418;25911;A
64820;25911;A
64820;53048;I
10676;2183;A
10676;4931;P
41445;61;A
17489;85;A
766;37;A
69087;451;A
521;204;A
25305;9040;A
57333;708;A
236;132;A
2911;850;A
2638;314;A
2638;981;P
35;30;A
32032;33399;A
32032;35627;I
27673;26;A
27673;1681;P
20228;2183;A
20228;7919;P
9830;420;A
599;313;A
1837;53;A
103;60;A
2147;481;A
2097;69;A
108;69;A
141;68;A
1874;407;A
5197;1325;A
86;53;A
2527;586;A
2527;952;P
27761;65;A
7700;965;A
7700;1588;I
7700;38416;P
7178;987;A
7178;217;P
209;113;A
60976;34;A
60976;6335;I
10623;2446;A
121;68;A
47;36;A
61963;51700;A
61963;39147;P
3825;467;A
62;48;A
24022;37;A
24022;6335;I
5230;30;A
902;111;A
82;59;A
50290;25911;A
4081;1269;A
1079;419;A
1200;551;A
1200;1896;I
1200;4933;P
1200;4932;P
6133;1358;A
160;100;A
42324;61;A
7256;634;A
1695;80;A
61221;975;A
805;420;A
5611;1743;A
5611;1811;P
59112;4823;A
59112;50306;P
59112;50307;P
6852;2220;A
6852;2221;P
4078;111;A
32759;36031;A
1051;523;A
9366;3004;A
1156;278;A
16433;6704;A
16433;6705;I
19591;1279;A
19591;8769;P
10002;3260;A
17699;7550;A
17699;7551;P
4039;1269;A
54672;2071;A
6410;2028;A
18458;7021;A
28488;791;A
28488;33362;P
28054;314;A
28054;2858;P
3726;1279;A
3726;1280;P
1952;27;A
64830;51145;A
16921;7021;A
27458;2825;A
27458;25301;P
30334;25744;A
30334;25396;I
61521;2437;A
61521;32512;I
19651;7021;A
27609;32793;A
27609;32703;I
29019;7021;A
30283;34490;A
30283;25425;I
30014;34312;A
23379;25816;A
30034;34325;A
30034;8302;I
23185;25732;A
43048;41998;A
30044;34332;A
30044;35845;I
23920;26130;A
23920;25935;I
26743;32217;A
26743;25425;I
29789;34184;A
29789;34183;A
29789;25396;I
28650;8842;A
16;10;A
98;37;A
12;7;A
1251;573;A
2600;136;A
2600;4589;P
2600;500;P
14591;586;A
14591;33646;I
14591;167;P
36281;38191;A
113;73;A
36;30;A
3090;306;A
3090;33125;P
