"id zanra","zanr"
"511","Humorous stories"
"1702","England -- Fiction"
"2481","Young women -- Fiction"
"2871","British -- Italy -- Fiction"
"4235","Florence (Italy) -- Fiction"
"11","Whaling -- Fiction"
"115","Sea stories"
"2430","Psychological fiction"
"2486","Ship captains -- Fiction"
"2849","Adventure stories"
"3315","Mentally ill -- Fiction"
"8143","Ahab, Captain (Fictitious character) -- Fiction"
"8144","Whales -- Fiction"
"18044","Whaling ships -- Fiction"
"138","Fantasy fiction"
"335","Satire"
"2870","Travelers -- Fiction"
"4858","Gulliver, Lemuel (Fictitious character) -- Fiction"
"4859","Voyages, Imaginary -- Early works to 1800"
"36","Science fiction"
"1222","Horror tales"
"2586","Gothic fiction"
"2665","Scientists -- Fiction"
"2666","Monsters -- Fiction"
"2667","Frankenstein, Victor (Fictitious character) -- Fiction"
"18502","Frankenstein's monster (Fictitious character) -- Fiction"
"14722","English drama -- Early modern and Elizabethan, 1500-1600"
"2487","Love stories"
"2531","Fathers and daughters -- Fiction"
"2536","Bildungsromans"
"2545","Mate selection -- Fiction"
"2636","Female friendship -- Fiction"
"1040","Political satire, English"
"4856","Religious satire, English"
"4857","Ireland -- Politics and government -- 18th century -- Humor"
"2514","Domestic fiction"
"2622","Italy -- Fiction"
"867","Vendetta -- Drama"
"868","Youth -- Drama"
"869","Verona (Italy) -- Drama"
"2881","Juliet (Fictitious character) -- Drama"
"2882","Romeo (Fictitious character) -- Drama"
"2883","Conflict of generations -- Drama"
"4882","Tragedies (Drama)"
"94","Short stories"
"1262","Humorous stories, American"
"3329","United States -- Social life and customs -- 19th century -- Fiction"
"4113","Wooster, Bertie (Fictitious character) -- Fiction"
"4114","Jeeves (Fictitious character) -- Fiction"
"4115","Single men -- Fiction"
"4116","Valets -- Fiction"
"2489","Sisters -- Fiction"
"2633","Pastoral fiction"
"2634","Villages -- Fiction"
"2635","Older women -- Fiction"
"2547","Epistolary fiction"
"3163","Great Britain -- Fiction"
"776","Comedy plays"
"16742","Hypochondria -- Drama"
"16798","Molière, 1622-1673 -- Translations into English"
"2540","Young men -- Fiction"
"2599","Foundlings -- Fiction"
"3250","Identity (Psychology) -- Fiction"
"2613","Men -- Societies and clubs -- Fiction"
"2614","Male friendship -- Fiction"
"141","Animals -- Fiction"
"2525","Friendship -- Fiction"
"2670","Country life -- Fiction"
"6531","River life -- Fiction"
"510","Didactic fiction"
"1278","City and town life -- Fiction"
"2534","Married people -- Fiction"
"1123","Detective and mystery stories"
"3523","Saint Petersburg (Russia) -- Fiction"
"3550","Murder -- Fiction"
"34776","Crime -- Psychological aspects -- Fiction"
"6593","Earth (Planet) -- Core -- Fiction"
"12294","Voyages, Imaginary -- Fiction"
"517","Autobiographical fiction"
"2519","Family life -- New England -- Fiction"
"2521","New England -- Fiction"
"2546","Mothers and daughters -- Fiction"
"7107","March family (Fictitious characters) -- Fiction"
"2783","Russia -- Social life and customs -- Fiction"
"5180","Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English"
"2578","Courtship -- Fiction"
"2906","Social classes -- Fiction"
"385","Arthurian romances"
"1161","Lady of the Lake (Legendary character) -- Romances"
"3526","Rome -- Fiction"
"3527","Satire, Latin -- Translations into English"
"1415","Children's stories"
"4873","Imaginary places -- Juvenile fiction"
"31575","Alice (Fictitious character from Carroll) -- Juvenile fiction"
"110","Self-actualization (Psychology) -- Fiction"
"2512","Single women -- Fiction"
"9183","Canada -- History -- 1914-1945 -- Fiction"
"18234","Romance fiction"
"19779","Love -- Fiction"
"33957","Young adult fiction"
"37205","Choice (Psychology) -- Fiction"
"538","Comedy"
"1647","Philosophy, French"
"1648","Laughter"
"2570","Diary fiction"
"4907","Bible. Genesis -- History of Biblical events -- Fiction"
"9099","Eve (Biblical figure) -- Fiction"
"1221","Supernatural -- Fiction"
"2526","Conduct of life -- Fiction"
"2700","Portraits -- Fiction"
"2701","Great Britain -- History -- Victoria, 1837-1901 -- Fiction"
"2702","London (England) -- History -- 1800-1950 -- Fiction"
"2703","Appearance (Philosophy) -- Fiction"
"3582","Paranormal fiction"
"114","Submarines (Ships) -- Fiction"
"4291","Underwater exploration -- Fiction"
"2543","Picaresque literature"
"3298","Rogues and vagabonds -- Fiction"
